"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","x.correct","c.correct","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4","Vor1","Vor2","Vor3","Vor4","Vcc1","Vcc2","Vcc3","Vcc4","Vml1","Vml2","Vml3","Vml4","Vsp1","Vsp2","Vsp3","Vsp4"
8000,0.8,10,1,0.5,1,2,0,0,40,40,5,9000007,1.00031856216977,9.99022484527076,2.00733963597875,0.0391433514540464,1.08357450569137,9.747632145278,1.94603425256574,0.0726614136288503,2.06217661113296,8.0499499285838,0.873309976163009,0.282137619896881,1.08154251594758,9.72497573116655,1.95631834597618,0.0741481099302069,0.0352733604312013,0.0498563073112402,0.0254194611242648,0.00745380436804462,0.0735881251027465,0.170452364088116,0.0612813896713248,0.0165678723309318,0.0359956980611177,0.0497336577533501,0.0314283440339628,0.01142196994464,0.0731197392661228,0.168346015114295,0.0611016824438354,0.0165574230005427
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,9000008,1.03412057173344,9.93051495875344,1.98947217153762,0.0221676430165909,1.01092557494544,10.0237678410581,2.06018218718423,-0.00614196068147307,1.01573674703851,10.0091197151308,2.04460211682682,0.0252226488158779,1.00796164494507,10.0393018250764,2.06098360771282,-0.00625967418292869,0.0353461885627048,0.0505811480553667,0.0253578117890818,0.00775131296141617,0.072087464418948,0.169601013788797,0.0623385929738279,0.0170042110495136,0.0468964225093051,0.0714881497401756,0.0397779989092765,0.0138519190636931,0.0717769030380452,0.168002967080192,0.0622386084242753,0.0169907862582117
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,9000008,1.03412057173344,9.93051495875344,1.98947217153762,0.0221676430165909,1.01092557494544,10.0237678410581,2.06018218718423,-0.00614196068147307,2.0201498894012,8.11155003006322,0.948446352771954,0.241600544548256,1.02048277249886,9.97373273189184,2.06104393753562,-0.00513893271352953,0.0353461885627048,0.0505811480553667,0.0253578117890818,0.00775131296141617,0.072087464418948,0.169601013788797,0.0623385929738279,0.0170042110495136,0.0382622689799164,0.0528396906090586,0.0327638088649749,0.0118835184058838,0.0717887773070284,0.168094161364713,0.0622397739878864,0.0170005518097366
8000,0.8,10,1,0.5,1,2,1,0,40,40,5,9000008,1.03412057173344,9.93051495875344,1.98947217153762,0.0221676430165909,1.01092557494544,10.0237678410581,2.06018218718423,-0.00614196068147307,1.01573674703851,10.0091197151308,2.04460211682682,0.0252226488158779,1.00747583829092,10.0401767761483,2.06106398834001,-0.00614609085171595,0.0353461885627048,0.0505811480553667,0.0253578117890818,0.00775131296141617,0.072087464418948,0.169601013788797,0.0623385929738279,0.0170042110495136,0.0468964225093051,0.0714881497401756,0.0397779989092765,0.0138519190636931,0.0717911210735461,0.168075398942759,0.0622469445931278,0.0169916387087032
8000,0.8,10,1,0.5,1,2,0,0,40,40,5,9000008,1.03412057173344,9.93051495875344,1.98947217153762,0.0221676430165909,1.01092557494544,10.0237678410581,2.06018218718423,-0.00614196068147307,2.0201498894012,8.11155003006322,0.948446352771954,0.241600544548256,1.0204611245024,9.97279162102052,2.06184795937929,-0.0051216828437238,0.0353461885627048,0.0505811480553667,0.0253578117890818,0.00775131296141617,0.072087464418948,0.169601013788797,0.0623385929738279,0.0170042110495136,0.0382622689799164,0.0528396906090586,0.0327638088649749,0.0118835184058838,0.0717872928404464,0.168095127429789,0.062238127421988,0.0170005838965505
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,9000009,1.01654697676105,9.98295690135924,1.96586305999615,-0.0303970412605816,1.02067353277043,10.0193079391177,1.999870293714,-0.0365872003747666,0.952300299986726,10.2776680743606,2.00815038809292,-0.0202333636671939,1.01063652962273,10.0593660102515,2.00563527467482,-0.0348203244050629,0.0364570825716865,0.0520799929366597,0.0262968815480926,0.00823469070191896,0.0751492592579783,0.174375967877823,0.0619237271111546,0.0182795406391587,0.0483895776891645,0.0758406787773835,0.0406064992441083,0.0146400205274065,0.0748168492113541,0.172839195742339,0.0618222114890477,0.0182622215209328
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,9000009,1.01654697676105,9.98295690135924,1.96586305999615,-0.0303970412605816,1.02067353277043,10.0193079391177,1.999870293714,-0.0365872003747666,1.90346605769741,8.54480723573386,0.943552666563775,0.173904515870087,1.02204557190521,10.0047571150518,2.0028266230253,-0.035218271892413,0.0364570825716865,0.0520799929366597,0.0262968815480926,0.00823469070191896,0.0751492592579783,0.174375967877823,0.0619237271111546,0.0182795406391587,0.0399271960329527,0.0577643322182191,0.0347063237898699,0.0127802571522154,0.0748533555723046,0.173097816384163,0.0618303859291659,0.0182716998191241
8000,0.8,10,1,0.5,1,2,1,0,40,40,5,9000009,1.01654697676105,9.98295690135924,1.96586305999615,-0.0303970412605816,1.02067353277043,10.0193079391177,1.999870293714,-0.0365872003747666,0.952300299986726,10.2776680743606,2.00815038809292,-0.0202333636671939,1.01111016477394,10.0590464371668,2.00412629730348,-0.0351127430230551,0.0364570825716865,0.0520799929366597,0.0262968815480926,0.00823469070191896,0.0751492592579783,0.174375967877823,0.0619237271111546,0.0182795406391587,0.0483895776891645,0.0758406787773835,0.0406064992441083,0.0146400205274065,0.0748405118962499,0.17293390062562,0.0618341859798807,0.0182642385831515
8000,0.8,10,1,0.5,1,2,0,0,40,40,5,9000009,1.01654697676105,9.98295690135924,1.96586305999615,-0.0303970412605816,1.02067353277043,10.0193079391177,1.999870293714,-0.0365872003747666,1.90346605769741,8.54480723573386,0.943552666563775,0.173904515870087,1.02203788086506,10.0048524308352,2.00343714244043,-0.0353243559247104,0.0364570825716865,0.0520799929366597,0.0262968815480926,0.00823469070191896,0.0751492592579783,0.174375967877823,0.0619237271111546,0.0182795406391587,0.0399271960329527,0.0577643322182191,0.0347063237898699,0.0127802571522154,0.0748565991847075,0.173116029130223,0.0618298679851116,0.0182718851919371
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,9000010,1.06581904846898,9.95085714186651,1.96190488687081,0.00263671968677729,0.993190637394871,10.1641008525167,1.99940416924588,0.0175880364078843,1.1067989987493,9.83738035815289,1.92942681737007,9.74697482562037e-05,1.01455162459752,10.0881004318647,1.98804723511824,0.0167714371164921,0.035672503748101,0.0513298297979463,0.0257641438151929,0.00787439937644211,0.0730259836974427,0.173183066175775,0.0617688774061161,0.0179023734336196,0.0467516838367177,0.0712361179179792,0.0401738564069114,0.0146069579632734,0.0727995500448644,0.171899652828506,0.061720965564471,0.0178932706784249
